CommonName,ScientificName,CNFromBirdlife,SNFromBirdlife,DisplayOrder,ServcatClassID
Black-bellied Whistling-Duck,Dendrocygna autumnalis,Black-bellied Whistling-duck,Dendrocygna autumnalis,1,77749
Fulvous Whistling-Duck,Dendrocygna bicolor,Fulvous Whistling-duck,Dendrocygna bicolor,2,77751
Taiga Bean-Goose,Anser fabalis,Bean Goose,Anser fabalis,3,77727
Tundra Bean-Goose,Anser serrirostris,Bean Goose,Anser serrirostris,4,77730
Pink-footed Goose,Anser brachyrhynchus,Pink-footed Goose,Anser brachyrhynchus,5,77740
Greater White-fronted Goose,Anser albifrons,Greater White-fronted Goose,Anser albifrons,6,77723
Lesser White-fronted Goose,Anser erythropus,Lesser White-fronted Goose,Anser erythropus,7,77737
Graylag Goose,Anser anser,Greylag Goose,Anser anser,8,77731
Emperor Goose,Chen canagica,Emperor Goose,Anser canagicus,9,77747
Snow Goose,Chen caerulescens,Snow Goose,Anser caerulescens,10,77742
Ross's Goose,Chen rossii,Ross's Goose,Anser rossii,11,77746
Brant,Branta bernicla,Brent Goose,Branta bernicla,12,77713
Barnacle Goose,Branta leucopsis,Barnacle Goose,Branta leucopsis,13,77716
Cackling Goose,Branta hutchinsii,Cackling Goose,Branta hutchinsii,14,604603
Canada Goose,Branta canadensis,Canada Goose,Branta canadensis,15,76625
Mute Swan,Cygnus olor,Mute Swan,Cygnus olor,16,76610
Trumpeter Swan,Cygnus buccinator,Trumpeter Swan,Cygnus buccinator,17,76618
Tundra Swan,Cygnus columbianus,Tundra Swan,Cygnus columbianus,18,76612
Whooper Swan,Cygnus cygnus,Whooper Swan,Cygnus cygnus,19,76616
Egyptian Goose,Alopochen aegyptiaca,Egyptian Goose,Alopochen aegyptiaca,20,78608
Muscovy Duck,Cairina moschata,Muscovy Duck,Cairina moschata,21,78643
Wood Duck,Aix sponsa,Wood Duck,Aix sponsa,22,77836
Gadwall,Anas strepera,Gadwall,Mareca strepera,23,77781
Falcated Duck,Anas falcata,Falcated Duck,Mareca falcata,24,77789
Eurasian Wigeon,Anas penelope,Eurasian Wigeon,Mareca penelope,25,77802
American Wigeon,Anas americana,American Wigeon,Mareca americana,26,77804
American Black Duck,Anas rubripes,American Black Duck,Anas rubripes,27,77775
Mallard,Anas platyrhynchos,Mallard,Anas platyrhynchos,28,77770
Mottled Duck,Anas fulvigula,Mottled Duck,Anas fulvigula,29,77778
Eastern Spot-billed Duck,Anas zonorhyncha,Chinese Spot-billed Duck,Anas zonorhyncha,30,604927
Blue-winged Teal,Anas discors,Blue-winged Teal,Spatula discors,31,77795
Cinnamon Teal,Anas cyanoptera,Cinnamon Teal,Spatula cyanoptera,32,77798
Northern Shoveler,Anas clypeata,Northern Shoveler,Spatula clypeata,33,77806
White-cheeked Pintail,Anas bahamensis,White-cheeked Pintail,Anas bahamensis,34,77786
Northern Pintail,Anas acuta,Northern Pintail,Anas acuta,35,77782
Garganey,Anas querquedula,Garganey,Spatula querquedula,36,77803
Baikal Teal,Anas formosa,Baikal Teal,Sibirionetta formosa,37,77794
Green-winged Teal,Anas crecca,,Anas crecca,38,77790
Canvasback,Aythya valisineria,Canvasback,Aythya valisineria,39,78513
Redhead,Aythya americana,Redhead,Aythya americana,40,77839
Common Pochard,Aythya ferina,Common Pochard,Aythya ferina,41,77840
Ring-necked Duck,Aythya collaris,Ring-necked Duck,Aythya collaris,42,78512
Tufted Duck,Aythya fuligula,Tufted Duck,Aythya fuligula,43,78520
Greater Scaup,Aythya marila,Greater Scaup,Aythya marila,44,78515
Lesser Scaup,Aythya affinis,Lesser Scaup,Aythya affinis,45,78519
Steller's Eider,Polysticta stelleri,Steller's Eider,Polysticta stelleri,46,78540
Spectacled Eider,Somateria fischeri,Spectacled Eider,Somateria fischeri,47,78549
King Eider,Somateria spectabilis,King Eider,Somateria spectabilis,48,78548
Common Eider,Somateria mollissima,Common Eider,Somateria mollissima,49,78542
Harlequin Duck,Histrionicus histrionicus,Harlequin Duck,Histrionicus histrionicus,50,78535
Labrador Duck,Camptorhynchus labradorius,Labrador Duck,Camptorhynchus labradorius,51,78538
Surf Scoter,Melanitta perspicillata,Surf Scoter,Melanitta perspicillata,52,78559
White-winged Scoter,Melanitta fusca,White-winged Scoter,Melanitta deglandi,53,78551
Common Scoter,Melanitta nigra,Common Scoter,Melanitta nigra,54,78560
Black Scoter,Melanitta americana,Black Scoter,Melanitta americana,55,604931
Long-tailed Duck,Clangula hyemalis,Long-tailed Duck,Clangula hyemalis,56,78533
Bufflehead,Bucephala albeola,Bufflehead,Bucephala albeola,57,78531
Common Goldeneye,Bucephala clangula,Common Goldeneye,Bucephala clangula,58,78527
Barrow's Goldeneye,Bucephala islandica,Barrow's Goldeneye,Bucephala islandica,59,78530
Smew,Mergellus albellus,Smew,Mergellus albellus,60,78587
Hooded Merganser,Lophodytes cucullatus,Hooded Merganser,Lophodytes cucullatus,61,78573
Common Merganser,Mergus merganser,Goosander,Mergus merganser,62,78575
Red-breasted Merganser,Mergus serrator,Red-breasted Merganser,Mergus serrator,63,78577
Masked Duck,Nomonyx dominicus,Masked Duck,Nomonyx dominicus,64,265807
Ruddy Duck,Oxyura jamaicensis,Ruddy Duck,Oxyura jamaicensis,65,78564
Plain Chachalaca,Ortalis vetula,Plain Chachalaca,Ortalis vetula,66,82647
Mountain Quail,Oreortyx pictus,Mountain Quail,Oreortyx pictus,67,84314
Northern Bobwhite,Colinus virginianus,Northern Bobwhite,Colinus virginianus,68,84281
Scaled Quail,Callipepla squamata,Scaled Quail,Callipepla squamata,69,84291
California Quail,Callipepla californica,California Quail,Callipepla californica,70,84295
Gambel's Quail,Callipepla gambelii,Gambel's Quail,Callipepla gambelii,71,84296
Montezuma Quail,Cyrtonyx montezumae,Montezuma Quail,Cyrtonyx montezumae,72,84323
Chukar,Alectoris chukar,Chukar,Alectoris chukar,73,84331
Himalayan Snowcock,Tetraogallus himalayensis,Himalayan Snowcock,Tetraogallus himalayensis,74,84381
Gray Partridge,Perdix perdix,Grey Partridge,Perdix perdix,75,84339
Ring-necked Pheasant,Phasianus colchicus,Common Pheasant,Phasianus colchicus,76,84328
Ruffed Grouse,Bonasa umbellus,Ruffed Grouse,Bonasa umbellus,77,83131
